,StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,consent,age,gender,polAffil,polAlign_1,educ,langother,englishprof,Q1_1,Q2_1,Q4_1,Q5_1,Q1_2_D_3,Q1_2_D_4,Q1_2_R_3,Q1_2_R_4,Q2_2_D_1,Q2_2_D_2,Q2_2_R_1,Q2_2_R_2,Q4_2_D_1,Q4_2_D_2,Q4_2_R_1,Q4_2_R_2,Q5_2_D_1,Q5_2_D_2,Q5_2_R_1,Q5_2_R_2,Q1_D_midpoint,Q1_R_midpoint,Q1_midpoint,Q2_D_midpoint,Q2_R_midpoint,Q2_midpoint,Q4_D_midpoint,Q4_R_midpoint,Q4_midpoint,Q5_D_midpoint,Q5_R_midpoint,Q5_midpoint
10,2022-09-20 04:16:52,2022-09-20 04:21:56,IP Address,100,304,True,2022-09-20 04:21:56,R_3nfxBV9h59DKpfd,anonymous,EN,"I consent, begin the study.",36.0,Female,Democrat,2.0,"Professional School Degree (For example: MD, DDS, DVM, LLB, JD)",No,Very well,0.72,0.5,1.0,1.0,0.27,0.73,0.35,0.8,0.26,0.67,0.23,0.87,0.63,1.0,0.61,1.0,0.52,1.0,0.52,1.0,0.5,0.575,0.5375,0.465,0.55,0.5075000000000001,0.815,0.8049999999999999,0.8099999999999999,0.76,0.76,0.76
11,2022-09-20 04:11:29,2022-09-20 04:22:42,IP Address,100,673,True,2022-09-20 04:22:42,R_3k043F1LgE7wkuT,anonymous,EN,"I consent, begin the study.",69.0,Male,Democrat,1.0,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",No,Very well,0.51,0.33,0.88,0.34,0.22,0.38,0.56,0.75,0.28,0.41,0.53,0.71,0.42,0.62,0.31,0.47,0.35,0.48,0.38,0.6,0.3,0.655,0.4775,0.345,0.62,0.4825,0.52,0.39,0.455,0.415,0.49,0.4525
12,2022-09-20 04:17:33,2022-09-20 04:25:23,IP Address,100,470,True,2022-09-20 04:25:23,R_3ptHhW4IwgbTZ9C,anonymous,EN,"I consent, begin the study.",29.0,Male,Democrat,2.0,Some college but no degree,No,Very well,0.9,0.82,0.0,0.34,0.08,0.34,0.71,0.92,0.75,0.92,0.12,0.29,0.58,0.78,0.08,0.22,0.74,0.91,0.02,0.22,0.21,0.815,0.5125,0.835,0.205,0.52,0.6799999999999999,0.15,0.415,0.825,0.12,0.4725
13,2022-09-20 04:19:36,2022-09-20 04:27:50,IP Address,100,493,True,2022-09-20 04:27:50,R_2CB9Em3mA2qIXX1,anonymous,EN,"I consent, begin the study.",37.0,Female,Democrat,3.0,"Bachelor's degree (For example: BA, AB, BS)",No,Very well,0.21,0.21,1.0,0.24,0.14,0.28,0.69,0.92,0.45,0.68,0.29,0.66,0.67,0.87,0.16,0.35,0.47,0.77,0.63,0.84,0.21,0.8049999999999999,0.5075,0.5650000000000001,0.475,0.52,0.77,0.255,0.5125,0.62,0.735,0.6775
14,2022-09-20 04:22:26,2022-09-20 04:28:38,IP Address,100,371,True,2022-09-20 04:28:38,R_2OUAczzOHOPBpzQ,anonymous,EN,"I consent, begin the study.",20.0,Male,Democrat,2.0,Some college but no degree,No,Very well,0.22,0.41,0.69,0.87,0.12,0.34,0.27,0.61,0.35,0.66,0.16,0.38,0.4,0.6,0.22,0.31,0.75,0.92,0.3,0.67,0.23,0.44,0.335,0.505,0.27,0.3875,0.5,0.265,0.3825,0.835,0.485,0.6599999999999999
15,2022-09-20 04:15:10,2022-09-20 04:29:08,IP Address,100,838,True,2022-09-20 04:29:08,R_3nkGWx8XL1IhbnW,anonymous,EN,"I consent, begin the study.",52.0,Female,Democrat,2.0,Associate degree in college - Occupational/vocational program,No,Very well,0.99,0.12,0.92,0.98,0.86,1.0,0.75,0.97,0.03,0.29,0.2,0.51,0.86,1.0,0.68,0.85,0.69,0.98,0.45,0.59,0.93,0.86,0.895,0.1599999999999999,0.355,0.2574999999999999,0.93,0.765,0.8474999999999999,0.835,0.52,0.6775
16,2022-09-20 04:20:37,2022-09-20 04:30:05,IP Address,100,567,True,2022-09-20 04:30:05,R_3e4c6fOY6OuFfD4,anonymous,EN,"I consent, begin the study.",37.0,Male,Democrat,2.0,Some college but no degree,No,Very well,0.75,1.0,1.0,1.0,0.2,0.79,0.7,1.0,0.15,0.61,0.4,0.8,0.59,1.0,0.19,0.62,0.39,0.79,0.62,0.95,0.495,0.85,0.6725,0.38,0.6000000000000001,0.49,0.7949999999999999,0.405,0.6,0.5900000000000001,0.7849999999999999,0.6875
17,2022-09-20 04:26:33,2022-09-20 04:32:06,IP Address,100,332,True,2022-09-20 04:32:06,R_2cjZKg7YryMTc9G,anonymous,EN,"I consent, begin the study.",20.0,Male,Democrat,0.0,Some college but no degree,No,Very well,1.0,0.82,1.0,0.24,0.67,1.0,0.67,1.0,0.41,0.79,0.21,0.59,0.67,1.0,0.43,0.82,0.67,0.98,0.29,0.6,0.835,0.835,0.835,0.6,0.3999999999999999,0.5,0.835,0.625,0.73,0.825,0.4449999999999999,0.635
18,2022-09-20 04:27:41,2022-09-20 04:35:13,IP Address,100,452,True,2022-09-20 04:35:14,R_1GTbPV6L84gkEtW,anonymous,EN,"I consent, begin the study.",32.0,Male,Democrat,4.0,HIGH SCHOOL GRADUATE – high school DIPLOMA or the equivalent (For example: GED),Yes,Very well,1.0,1.0,0.67,0.25,0.18,0.4,0.54,1.0,0.41,0.63,0.07,0.42,0.65,0.85,0.36,0.55,0.71,0.89,0.34,0.56,0.29,0.77,0.53,0.52,0.245,0.3825,0.75,0.455,0.6025,0.8,0.45,0.625
19,2022-09-20 04:32:29,2022-09-20 04:39:54,IP Address,100,444,True,2022-09-20 04:39:55,R_3PiSu5zFgByUKNM,anonymous,EN,"I consent, begin the study.",23.0,Female,Democrat,0.0,12th grade NO DIPLOMA,No,Very well,0.0,0.24,0.25,1.0,0.0,0.3,0.48,1.0,0.0,0.5,0.51,1.0,0.52,1.0,0.02,0.74,0.29,1.0,0.0,0.73,0.15,0.74,0.445,0.25,0.755,0.5025,0.76,0.38,0.5700000000000001,0.645,0.365,0.505
20,2022-09-20 04:31:59,2022-09-20 04:40:28,IP Address,100,509,True,2022-09-20 04:40:29,R_2zIu2kXVFTpSgVL,anonymous,EN,"I consent, begin the study.",46.0,Male,Democrat,2.0,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",No,Very well,0.74,0.5,0.09,0.25,0.19,0.33,0.62,0.77,0.16,0.33,0.62,0.73,0.67,0.85,0.36,0.51,0.71,0.84,0.55,0.6,0.26,0.6950000000000001,0.4775,0.245,0.675,0.46,0.76,0.435,0.5975,0.7749999999999999,0.575,0.6749999999999999
21,2022-09-20 04:37:23,2022-09-20 04:41:40,IP Address,100,257,True,2022-09-20 04:41:41,R_Ox9wCzkzcIRhRwB,anonymous,EN,"I consent, begin the study.",40.0,Male,Democrat,1.0,"Doctorate degree (For example: PhD, EdD)",No,Very well,0.24,0.17,0.89,0.57,0.0,0.69,0.56,0.93,0.25,0.93,0.02,0.25,0.61,0.98,0.06,0.57,0.37,0.79,0.37,0.63,0.345,0.7450000000000001,0.545,0.5900000000000001,0.135,0.3625,0.7949999999999999,0.3149999999999999,0.5549999999999999,0.5800000000000001,0.5,0.54
22,2022-09-20 04:26:16,2022-09-20 04:42:30,IP Address,100,974,True,2022-09-20 04:42:31,R_25EkE8FQHC67r46,anonymous,EN,"I consent, begin the study.",32.0,Male,Democrat,7.0,"Bachelor's degree (For example: BA, AB, BS)",Yes,Very well,0.26,0.27,0.76,0.8,0.46,0.7,0.33,0.68,0.45,0.66,0.49,0.69,0.64,0.8,0.22,0.63,0.48,0.67,0.63,0.8,0.58,0.505,0.5425,0.555,0.59,0.5725,0.72,0.425,0.5725,0.575,0.7150000000000001,0.645
23,2022-09-20 04:38:24,2022-09-20 04:44:06,IP Address,100,342,True,2022-09-20 04:44:07,R_2VQQiVK9WfwBH2w,anonymous,EN,"I consent, begin the study.",28.0,Female,Democrat,1.0,"Doctorate degree (For example: PhD, EdD)",No,Very well,0.67,0.73,0.76,0.65,0.17,0.44,0.67,0.85,0.12,0.39,0.69,0.87,0.57,0.79,0.16,0.41,0.65,0.71,0.33,0.47,0.305,0.76,0.5325,0.255,0.78,0.5175000000000001,0.6799999999999999,0.285,0.4824999999999999,0.6799999999999999,0.4,0.54
24,2022-09-20 04:40:15,2022-09-20 04:44:29,IP Address,100,254,True,2022-09-20 04:44:29,R_1eyLr4DwfSfhHeX,anonymous,EN,"I consent, begin the study.",38.0,Male,Democrat,1.0,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",No,Very well,0.88,0.41,0.91,0.93,0.11,0.63,0.48,0.95,0.14,0.53,0.62,0.95,0.47,0.98,0.04,0.62,0.44,0.89,0.13,0.57,0.37,0.715,0.5425,0.335,0.7849999999999999,0.5599999999999999,0.725,0.33,0.5275,0.665,0.35,0.5075000000000001
25,2022-09-20 04:28:06,2022-09-20 04:45:14,IP Address,100,1028,True,2022-09-20 04:45:15,R_2qyfAIgyNSOdyJC,anonymous,EN,"I consent, begin the study.",36.0,Male,Democrat,1.0,"Bachelor's degree (For example: BA, AB, BS)",Yes,Very well,0.76,0.79,0.92,0.86,0.14,0.48,0.59,0.85,0.26,0.57,0.45,0.84,0.57,0.95,0.33,0.62,0.36,0.83,0.14,0.62,0.31,0.72,0.515,0.415,0.645,0.53,0.76,0.475,0.6174999999999999,0.595,0.38,0.4875
26,2022-09-20 04:39:09,2022-09-20 04:45:33,IP Address,100,383,True,2022-09-20 04:45:33,R_28LZI7fB1Ij6HgN,anonymous,EN,"I consent, begin the study.",32.0,Female,Democrat,2.0,"Bachelor's degree (For example: BA, AB, BS)",No,Very well,0.8,0.29,0.78,0.99,0.08,0.13,0.85,0.96,0.1,0.2,0.52,0.77,0.37,0.8,0.1,0.28,0.52,0.52,0.52,0.52,0.105,0.905,0.505,0.15,0.645,0.3975,0.585,0.19,0.3874999999999999,0.52,0.52,0.52
27,2022-09-20 04:39:44,2022-09-20 04:46:12,IP Address,100,387,True,2022-09-20 04:46:12,R_24FNHuGX3FIjrJO,anonymous,EN,"I consent, begin the study.",49.0,Male,Democrat,4.0,Some college but no degree,No,Very well,0.35,0.64,1.0,0.83,0.26,0.86,0.3,0.81,0.26,0.78,0.3,0.73,0.52,0.55,0.55,0.56,0.34,0.8,0.28,0.77,0.56,0.555,0.5575000000000001,0.52,0.515,0.5175000000000001,0.535,0.555,0.545,0.5700000000000001,0.525,0.5475000000000001
28,2022-09-20 04:35:37,2022-09-20 04:47:06,IP Address,100,689,True,2022-09-20 04:47:07,R_BK4YpyuhuMRhpuh,anonymous,EN,"I consent, begin the study.",37.0,Female,Democrat,0.0,Some college but no degree,No,Very well,0.25,0.61,0.81,1.0,0.54,0.83,0.29,0.55,0.1,0.37,0.74,1.0,0.75,0.97,0.45,0.64,0.52,0.94,0.34,0.6,0.685,0.42,0.5525,0.235,0.87,0.5525,0.86,0.545,0.7025,0.73,0.47,0.6
29,2022-09-20 04:36:06,2022-09-20 04:47:52,IP Address,100,705,True,2022-09-20 04:47:52,R_25SgFmytNI2mwFy,anonymous,EN,"I consent, begin the study.",34.0,Male,Democrat,9.0,"Bachelor's degree (For example: BA, AB, BS)",Yes,Very well,1.0,0.86,0.27,0.98,0.5,0.75,0.39,0.6,0.5,0.75,0.38,0.6,0.5,0.75,0.38,0.6,0.5,0.75,0.38,0.6,0.625,0.495,0.56,0.625,0.49,0.5575,0.625,0.49,0.5575,0.625,0.49,0.5575
30,2022-09-20 04:39:12,2022-09-20 04:48:01,IP Address,100,528,True,2022-09-20 04:48:01,R_vfcuN12iwpVLjKp,anonymous,EN,"I consent, begin the study.",41.0,Female,Democrat,0.0,"Bachelor's degree (For example: BA, AB, BS)",No,Very well,0.0,0.0,1.0,1.0,0.0,0.21,0.64,1.0,0.0,0.16,0.9,1.0,0.75,1.0,0.0,0.25,0.75,1.0,0.0,0.11,0.105,0.8200000000000001,0.4625,0.08,0.95,0.515,0.875,0.125,0.5,0.875,0.055,0.465
31,2022-09-20 04:37:28,2022-09-20 04:48:32,IP Address,100,663,True,2022-09-20 04:48:32,R_3p9WrpB942vvLDb,anonymous,EN,"I consent, begin the study.",26.0,Female,Democrat,0.0,HIGH SCHOOL GRADUATE – high school DIPLOMA or the equivalent (For example: GED),No,Very well,0.15,0.73,0.86,0.65,0.0,0.2,0.9,1.0,0.35,0.5,0.4,0.6,0.87,1.0,0.33,0.5,0.68,0.88,0.5,0.78,0.1,0.95,0.525,0.425,0.5,0.4625,0.935,0.415,0.675,0.78,0.64,0.71
32,2022-09-20 04:46:43,2022-09-20 04:50:22,IP Address,100,219,True,2022-09-20 04:50:23,R_29pkidtGKhLlQJj,anonymous,EN,"I consent, begin the study.",39.0,Male,Democrat,1.0,HIGH SCHOOL GRADUATE – high school DIPLOMA or the equivalent (For example: GED),No,Very well,0.18,0.83,0.93,0.81,0.0,0.1,0.76,1.0,0.0,0.09,0.77,1.0,0.67,1.0,0.0,0.08,0.76,0.93,0.02,0.11,0.05,0.88,0.465,0.045,0.885,0.465,0.835,0.04,0.4375,0.845,0.065,0.4549999999999999
33,2022-09-20 04:46:38,2022-09-20 04:51:01,IP Address,100,263,True,2022-09-20 04:51:02,R_yqhClH2ESvJijhT,anonymous,EN,"I consent, begin the study.",43.0,Female,Democrat,1.0,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",No,Very well,0.23,0.26,1.0,0.76,0.1,0.35,0.61,0.85,0.11,0.39,0.64,0.84,0.71,0.94,0.56,0.79,0.74,0.93,0.55,0.78,0.2249999999999999,0.73,0.4775,0.25,0.74,0.495,0.825,0.675,0.75,0.835,0.665,0.75
34,2022-09-20 04:44:41,2022-09-20 04:52:14,IP Address,100,453,True,2022-09-20 04:52:14,R_1MKzJITZTHYA5Ng,anonymous,EN,"I consent, begin the study.",41.0,Male,Democrat,1.0,Some college but no degree,No,Very well,0.71,0.69,0.99,1.0,0.25,0.75,0.88,1.0,0.25,1.0,0.89,1.0,0.67,1.0,0.25,0.71,0.74,1.0,0.75,1.0,0.5,0.94,0.72,0.625,0.945,0.785,0.835,0.48,0.6575,0.87,0.875,0.8725
35,2022-09-20 04:45:46,2022-09-20 04:52:17,IP Address,100,390,True,2022-09-20 04:52:17,R_3JLqxuO72UA2NLH,anonymous,EN,"I consent, begin the study.",39.0,Male,Democrat,0.0,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",No,Very well,0.74,0.75,1.0,0.7,0.07,0.2,0.66,0.9,0.06,0.2,0.61,0.84,0.7,0.9,0.19,0.4,0.7,0.9,0.18,0.33,0.135,0.78,0.4575,0.13,0.725,0.4275,0.8,0.295,0.5475000000000001,0.8,0.255,0.5275000000000001
36,2022-09-20 04:43:07,2022-09-20 04:52:33,IP Address,100,565,True,2022-09-20 04:52:34,R_2ANH7l9xk3Gz8Wp,anonymous,EN,"I consent, begin the study.",40.0,Female,Democrat,0.0,"Bachelor's degree (For example: BA, AB, BS)",No,Very well,0.77,0.24,0.82,0.84,0.29,0.83,0.37,0.63,0.03,0.23,0.69,0.9,0.16,0.83,0.01,0.16,0.64,0.84,0.34,0.62,0.5599999999999999,0.5,0.53,0.13,0.7949999999999999,0.4624999999999999,0.495,0.085,0.29,0.74,0.48,0.61
37,2022-09-20 04:46:38,2022-09-20 04:52:42,IP Address,100,364,True,2022-09-20 04:52:43,R_2cuSO3kTXgZX4Xx,anonymous,EN,"I consent, begin the study.",54.0,Female,Democrat,0.0,"Bachelor's degree (For example: BA, AB, BS)",No,Very well,0.78,0.75,0.98,0.99,0.87,0.97,0.72,0.92,0.79,0.96,0.73,0.83,0.92,1.0,0.59,0.74,0.85,0.99,0.04,0.23,0.92,0.8200000000000001,0.87,0.875,0.78,0.8275,0.96,0.665,0.8125,0.92,0.135,0.5275
38,2022-09-20 04:47:35,2022-09-20 04:53:24,IP Address,100,349,True,2022-09-20 04:53:24,R_1HqtRfrV897uDNU,anonymous,EN,"I consent, begin the study.",27.0,Male,Democrat,0.0,Associate degree in college - Academic program,Yes,Very well,0.9,0.35,0.0,1.0,0.33,0.69,0.8,1.0,0.39,0.76,0.71,1.0,0.3,0.66,0.13,0.42,0.76,1.0,0.77,1.0,0.51,0.9,0.7050000000000001,0.575,0.855,0.715,0.48,0.275,0.3775,0.88,0.885,0.8825000000000001
39,2022-09-20 04:46:47,2022-09-20 04:54:02,IP Address,100,435,True,2022-09-20 04:54:03,R_2y4p2752n3WRpu6,anonymous,EN,"I consent, begin the study.",42.0,Female,Democrat,1.0,Some college but no degree,No,Very well,1.0,1.0,1.0,1.0,0.45,0.75,0.9,1.0,0.34,0.79,0.85,1.0,0.77,1.0,0.28,0.51,0.51,1.0,0.36,0.65,0.6,0.95,0.7749999999999999,0.5650000000000001,0.925,0.7450000000000001,0.885,0.395,0.64,0.755,0.505,0.63
40,2022-09-20 04:51:01,2022-09-20 04:54:24,IP Address,100,202,True,2022-09-20 04:54:24,R_3jYRL4atWdagpQT,anonymous,EN,"I consent, begin the study.",36.0,Male,Democrat,3.0,"Master's degree (For example: MA, MS, MEng, MEd, MSW, MBA)",Yes,Very well,0.13,0.23,0.75,0.52,0.0,0.61,0.75,1.0,0.0,0.42,0.61,1.0,0.63,1.0,0.02,0.41,0.55,1.0,0.0,0.48,0.305,0.875,0.59,0.21,0.8049999999999999,0.5075,0.815,0.215,0.515,0.775,0.24,0.5075000000000001
41,2022-09-20 04:50:49,2022-09-20 04:55:03,IP Address,100,253,True,2022-09-20 04:55:03,R_2e5xzk3i9iZpYAI,anonymous,EN,"I consent, begin the study.",30.0,Male,Democrat,4.0,"Bachelor's degree (For example: BA, AB, BS)",Yes,Very well,0.6,0.5,0.75,0.55,0.25,0.65,0.25,1.0,0.5,0.5,0.5,0.51,0.4,1.0,0.0,0.5,0.51,0.53,0.51,0.54,0.45,0.625,0.5375,0.5,0.505,0.5025,0.7,0.25,0.475,0.52,0.525,0.5225
42,2022-09-20 04:51:00,2022-09-20 04:56:17,IP Address,100,317,True,2022-09-20 04:56:17,R_28D5KXguK86YFRV,anonymous,EN,"I consent, begin the study.",23.0,Female,Democrat,3.0,"Bachelor's degree (For example: BA, AB, BS)",No,Very well,1.0,0.78,1.0,0.76,0.71,1.0,0.76,1.0,0.63,0.93,0.62,1.0,0.71,1.0,0.61,1.0,0.58,1.0,0.64,1.0,0.855,0.88,0.8674999999999999,0.78,0.81,0.795,0.855,0.8049999999999999,0.83,0.79,0.8200000000000001,0.805
43,2022-09-20 04:43:02,2022-09-20 04:56:18,IP Address,100,796,True,2022-09-20 04:56:18,R_1JQK4WwRKruCk9U,anonymous,EN,"I consent, begin the study.",40.0,Male,Democrat,10.0,"Bachelor's degree (For example: BA, AB, BS)",Yes,Very well,1.0,0.75,0.56,0.84,0.01,0.51,0.59,1.0,0.58,1.0,0.0,0.34,0.64,0.89,0.09,0.35,0.62,1.0,0.06,0.27,0.26,0.7949999999999999,0.5275,0.79,0.17,0.48,0.765,0.2199999999999999,0.4925,0.81,0.165,0.4875
44,2022-09-20 04:45:28,2022-09-20 04:56:52,IP Address,100,684,True,2022-09-20 04:56:52,R_2P6bTHDWfm4s8PY,anonymous,EN,"I consent, begin the study.",41.0,Female,Democrat,5.0,Associate degree in college - Academic program,No,Very well,1.0,0.75,0.63,1.0,0.0,0.0,1.0,1.0,0.25,0.25,1.0,1.0,0.75,0.75,0.26,0.28,0.25,0.25,0.75,0.75,0.0,1.0,0.5,0.25,1.0,0.625,0.75,0.27,0.51,0.25,0.75,0.5
45,2022-09-20 04:48:52,2022-09-20 04:58:38,IP Address,100,585,True,2022-09-20 04:58:39,R_PTJexKLUET9oqd3,anonymous,EN,"I consent, begin the study.",53.0,Female,Democrat,1.0,"Bachelor's degree (For example: BA, AB, BS)",No,Very well,0.75,0.25,1.0,1.0,0.25,0.6,0.4,0.75,0.15,0.85,0.35,0.9,0.15,0.9,0.2,0.75,0.15,0.9,0.15,0.6,0.425,0.575,0.5,0.5,0.625,0.5625,0.525,0.475,0.5,0.525,0.375,0.45
46,2022-09-20 04:57:15,2022-09-20 05:02:02,IP Address,100,286,True,2022-09-20 05:02:02,R_2WvYao8O4h7nAO4,anonymous,EN,"I consent, begin the study.",41.0,Male,Democrat,2.0,Some college but no degree,No,Very well,0.0,0.23,0.94,1.0,0.14,0.26,0.31,0.52,0.16,0.29,0.44,0.55,0.8,0.96,0.51,0.75,0.75,0.93,0.53,0.67,0.2,0.415,0.3075,0.2249999999999999,0.495,0.36,0.88,0.63,0.755,0.8400000000000001,0.6000000000000001,0.7200000000000001
47,2022-09-20 04:59:26,2022-09-20 05:04:06,IP Address,100,280,True,2022-09-20 05:04:06,R_2PqkaVmJkrr40er,anonymous,EN,"I consent, begin the study.",35.0,Female,Democrat,1.0,Some college but no degree,No,Very well,0.1,0.66,0.88,0.68,0.09,0.14,0.76,0.87,0.62,0.73,0.12,0.23,0.7,0.86,0.18,0.23,0.42,0.45,0.53,0.64,0.115,0.815,0.4649999999999999,0.675,0.175,0.425,0.78,0.205,0.4925,0.435,0.585,0.51
48,2022-09-20 04:59:25,2022-09-20 05:04:19,IP Address,100,293,True,2022-09-20 05:04:19,R_cBDuVtArTrwYIfL,anonymous,EN,"I consent, begin the study.",45.0,Female,Democrat,1.0,"Bachelor's degree (For example: BA, AB, BS)",No,Very well,0.16,0.2,0.33,0.7,0.08,0.21,0.63,0.82,0.35,0.84,0.15,0.19,0.66,0.86,0.21,0.31,0.58,0.79,0.17,0.29,0.145,0.725,0.435,0.595,0.1699999999999999,0.3824999999999999,0.76,0.26,0.51,0.685,0.2299999999999999,0.4575
